Geneid	TPM
ENSMUSG00000072978	2.97809196145176
ENSMUSG00000050711	0
ENSMUSG00000077782	0
ENSMUSG00000054702	0.658119001905254
ENSMUSG00000073643	2.26199020382177
ENSMUSG00000026248	8.64566865775393
ENSMUSG00000026249	0.230782687769944
ENSMUSG00000067106	0
ENSMUSG00000064589	0
ENSMUSG00000043230	0
ENSMUSG00000004364	85.3295156068483
ENSMUSG00000090637	0.514774265183317
ENSMUSG00000038608	1.35885171408565
ENSMUSG00000054976	0
ENSMUSG00000087008	0
ENSMUSG00000055980	0
ENSMUSG00000022591	0
ENSMUSG00000026142	19.2787749240922
ENSMUSG00000080388	0
ENSMUSG00000067158	0.00758840740177613
ENSMUSG00000079465	0.0633445867189499
ENSMUSG00000065055	0
ENSMUSG00000085879	0.126144954211344
ENSMUSG00000026150	110.174697744182
ENSMUSG00000026149	0.921075657043172
ENSMUSG00000026159	208.048007327021
ENSMUSG00000038496	0
ENSMUSG00000026166	0.0888607312917346
ENSMUSG00000053161	0
ENSMUSG00000084443	0
ENSMUSG00000026163	0
ENSMUSG00000079140	0.160242511631415
ENSMUSG00000080572	0
ENSMUSG00000077736	0
ENSMUSG00000045658	0.0703068480877254
ENSMUSG00000036766	0
ENSMUSG00000093254	0
ENSMUSG00000026219	85.6642958365156
ENSMUSG00000073633	2.85109325397086
ENSMUSG00000026220	0
ENSMUSG00000073632	0
ENSMUSG00000052477	0.197968799318873
ENSMUSG00000064281	0.0924385791841543
ENSMUSG00000061852	0.104702403951538
ENSMUSG00000089976	0
ENSMUSG00000089844	0.669559789711301
ENSMUSG00000079459	0
ENSMUSG00000073631	0
ENSMUSG00000072109	0.978424358579417
ENSMUSG00000090128	0
ENSMUSG00000089763	0
ENSMUSG00000089716	2.86979770830806
ENSMUSG00000079457	0.0252946913392538
ENSMUSG00000090252	0.141877639511859
ENSMUSG00000079455	0.0274144809304287
ENSMUSG00000091199	0
ENSMUSG00000089652	0
ENSMUSG00000089937	0
ENSMUSG00000090189	0
ENSMUSG00000089714	0.131258938841533
ENSMUSG00000090186	0
ENSMUSG00000070034	4.24369188063878
ENSMUSG00000090103	0
ENSMUSG00000070031	8.17650897541378
ENSMUSG00000073628	0.179362356769254
ENSMUSG00000090246	0.420028604292906
ENSMUSG00000026222	22.4851460994248
ENSMUSG00000064414	0
ENSMUSG00000052760	1.60218937889358
ENSMUSG00000092640	0
ENSMUSG00000092932	0
ENSMUSG00000036707	83.8913995782732
ENSMUSG00000026223	1.87556429912707
ENSMUSG00000026224	0
ENSMUSG00000049608	0.198072312416557
ENSMUSG00000026226	0
ENSMUSG00000026227	0.246401124159744
ENSMUSG00000026229	99.4394340410152
ENSMUSG00000077274	0.517504504776864
ENSMUSG00000026228	0.888815808298133
ENSMUSG00000062590	5.61161735488933
ENSMUSG00000087538	0
ENSMUSG00000079445	0.827847545628396
ENSMUSG00000091806	0
ENSMUSG00000026234	67.1116287620246
ENSMUSG00000064837	11.3928811277192
ENSMUSG00000064696	3.94597184892359
ENSMUSG00000064823	0.901936422611106
ENSMUSG00000073627	1.08320795852804
ENSMUSG00000026237	0
ENSMUSG00000036574	0
ENSMUSG00000067125	0
ENSMUSG00000026238	583.209342664398
ENSMUSG00000026239	26.465912198841
ENSMUSG00000026240	9.17267606189807
ENSMUSG00000084468	0
ENSMUSG00000026241	0
ENSMUSG00000053333	7.77685795357202
ENSMUSG00000084106	2.24512191404273
ENSMUSG00000026246	0
ENSMUSG00000079440	0
ENSMUSG00000036500	0
ENSMUSG00000026247	0
ENSMUSG00000036480	0
ENSMUSG00000026251	0
